"year","ISO3_Code","Country","average_rate","Code"
1974,"CUB","Cuba",0.821999999,"CUP"
2001,"TKM","Turkmenistan",5200,"TMT"
2017,"SOM","Somalia",23097.9873219373,"SOS"
2017,"SYR","Syrian Arab Republic",492.610833333333,"SYP"
2017,"VEN","Venezuela, RB",9.975,"VED"
2020,"AFG","Afghanistan",76.8135364354897,"AFN"
2020,"GIN","Guinea",9565.08218343833,"GNF"
2020,"LBR","Liberia",191.517957643463,"LRD"
2020,"MWI","Malawi",749.527493882201,"MWK"
2020,"MMR","Myanmar",1381.61916666667,"MMK"
2020,"NGA","Nigeria",358.810797258297,"NGN"
2021,"CYM","Cayman Islands",0.83333,"KYD"
2021,"COD","Congo, Dem. Rep.",1989.39147122828,"CDF"
2021,"ETH","Ethiopia",43.73377831884,"ETB"
2021,"GUY","Guyana",208.5,"GYD"
2021,"IRN","Iran, Islamic Rep.",42000,"IRR"
2021,"IRQ","Iraq",1450,"IQD"
2021,"KGZ","Kyrgyz Republic",84.6408220065285,"KGS"
2021,"MRT","Mauritania",36.0633333333333,"MRU"
2021,"MNG","Mongolia",2849.2886145414,"MNT"
2021,"PNG","Papua New Guinea",3.50877192982456,"PGK"
2021,"STP","Sao Tome and Principe",20.7104015163031,"STN"
2021,"SLB","Solomon Islands",8.03010299104932,"SBD"
2021,"SSD","South Sudan",306.354619937276,"SSP"
2021,"LKA","Sri Lanka",198.764316844656,"LKR"
2021,"TZA","Tanzania",2297.76422623792,"TZS"
2021,"TUR","Turkiye",8.85040754928315,"TRY"
2021,"VUT","Vanuatu",109.4525,"VUV"
2022,"ALB","Albania",113.041666666667,"ALL"
2022,"DZA","Algeria",141.994975,"DZD"
2022,"ASM","American Samoa",1,"USD"
2022,"AND","Andorra",0.949623753156941,"EUR"
2022,"AGO","Angola",460.567511631462,"AOA"
2022,"ATG","Antigua and Barbuda",2.7,"XCD"
2022,"ARG","Argentina",130.61655,"ARS"
2022,"ARM","Armenia",435.6661796523,"AMD"
2022,"ABW","Aruba",1.79,"AWG"
2022,"AUS","Australia",1.44166445896522,"AUD"
2022,"AUT","Austria",0.949623753156941,"EUR"
2022,"AZE","Azerbaijan",1.7,"AZN"
2022,"BHS","Bahamas, The",1,"BSD"
2022,"BHR","Bahrain",0.376,"BHD"
2022,"BGD","Bangladesh",91.7454544396961,"BDT"
2022,"BRB","Barbados",2,"BBD"
2022,"BLR","Belarus",2.6261,"BYN"
2022,"BEL","Belgium",0.949623753156941,"EUR"
2022,"BLZ","Belize",2,"BZD"
2022,"BEN","Benin",623.937311932306,"XOF"
2022,"BMU","Bermuda",1,"BMD"
2022,"BTN","Bhutan",78.5975702918448,"BTN"
2022,"BOL","Bolivia",6.91,"BOB"
2022,"BIH","Bosnia and Herzegovina",1.85932587706093,"BAM"
2022,"BWA","Botswana",12.3688083333333,"BWP"
2022,"BRA","Brazil",5.16397029102111,"BRL"
2022,"BRN","Brunei Darussalam",1.37895639652216,"BND"
2022,"BGR","Bulgaria",1.86014166666667,"BGN"
2022,"BFA","Burkina Faso",623.759700911182,"XOF"
2022,"BDI","Burundi",2034.30663430472,"BIF"
2022,"CPV","Cabo Verde",105.530782711447,"CVE"
2022,"KHM","Cambodia",4102.03786482335,"KHR"
2022,"CMR","Cameroon",623.759700911182,"XAF"
2022,"CAN","Canada",1.30155477474355,"CAD"
2022,"CAF","Central African Republic",623.759700911182,"XAF"
2022,"TCD","Chad",623.759700911182,"XAF"
2022,"CHL","Chile",873.314189543014,"CLP"
2022,"CHN","China",6.73715811237119,"CNY"
2022,"COL","Colombia",4256.19416666667,"COP"
2022,"COM","Comoros",467.184261187176,"KMF"
2022,"COG","Congo, Rep.",623.759700911182,"XAF"
2022,"CRI","Costa Rica",647.135817631363,"CRC"
2022,"CIV","Cote d'Ivoire",623.759700911182,"XOF"
2022,"HRV","Croatia",7.1597415,"HRK"
2022,"CUW","Curacao",1.79,"ANG"
2022,"CYP","Cyprus",0.949623753156941,"EUR"
2022,"CZE","Czechia",23.357,"CZK"
2022,"DNK","Denmark",7.0761518625,"DKK"
2022,"DJI","Djibouti",177.721,"DJF"
2022,"DMA","Dominica",2.7,"XCD"
2022,"DOM","Dominican Republic",55.1409916666667,"DOP"
2022,"ECU","Ecuador",1,"USD"
2022,"EGY","Egypt, Arab Rep.",19.1604397412204,"EGP"
2022,"SLV","El Salvador",1,"USD"
2022,"GNQ","Equatorial Guinea",623.759700911182,"XAF"
2022,"ERI","Eritrea",15.075,"ERN"
2022,"EST","Estonia",0.949623753156941,"EUR"
2022,"SWZ","Eswatini",16.3622830559282,"SZL"
2022,"FRO","Faroe Islands",7.0761518625,"DKK"
2022,"FJI","Fiji",2.2014069869585,"FJD"
2022,"FIN","Finland",0.949623753156941,"EUR"
2022,"FRA","France",0.949623753156941,"EUR"
2022,"PYF","French Polynesia",113.474367224106,"XPF"
2022,"GAB","Gabon",623.759700911182,"XAF"
2022,"GMB","Gambia, The",53.1885559073848,"GMD"
2022,"GEO","Georgia",2.9162,"GEL"
2022,"DEU","Germany",0.949623753156941,"EUR"
2022,"GHA","Ghana",8.2724,"GHS"
2022,"GIB","Gibraltar",0.811301715827773,"GIP"
2022,"GRC","Greece",0.949623753156941,"EUR"
2022,"GRL","Greenland",7.0761518625,"DKK"
2022,"GRD","Grenada",2.7,"XCD"
2022,"GUM","Guam",1,"USD"
2022,"GTM","Guatemala",7.74824375,"GTQ"
2022,"GNB","Guinea-Bissau",623.759700911182,"XOF"
2022,"HTI","Haiti",115.630715521746,"HTG"
2022,"HND","Honduras",24.4858737291131,"HNL"
2022,"HKG","Hong Kong SAR, China",7.83141666666667,"HKD"
2022,"HUN","Hungary",372.595833333333,"HUF"
2022,"ISL","Iceland",135.27990200138,"ISK"
2022,"IND","India",78.6044905829916,"INR"
2022,"IDN","Indonesia",14849.8539362105,"IDR"
2022,"IRL","Ireland",0.949623753156941,"EUR"
2022,"IMN","Isle of Man",0.811301715827773,"GBP"
2022,"ISR","Israel",3.35961440158189,"ILS"
2022,"ITA","Italy",0.949623753156941,"EUR"
2022,"JAM","Jamaica",153.426816475659,"JMD"
2022,"JPN","Japan",131.498140443764,"JPY"
2022,"JOR","Jordan",0.71,"JOD"
2022,"KAZ","Kazakhstan",460.165,"KZT"
2022,"KEN","Kenya",117.865989201683,"KES"
2022,"KIR","Kiribati",1.44166445896522,"AUD"
2022,"KOR","Korea, Rep.",1291.44666666667,"KRW"
2022,"KWT","Kuwait",0.306250154417754,"KWD"
2022,"LAO","Lao PDR",14035.2266926512,"LAK"
2022,"LVA","Latvia",0.949623753156941,"EUR"
2022,"LBN","Lebanon",1507.5,"LBP"
2022,"LSO","Lesotho",16.3558534845,"LSL"
2022,"LBY","Libya",4.813175,"LYD"
2022,"LIE","Liechtenstein",0.9548325,"CHF"
2022,"LTU","Lithuania",0.949623753156941,"EUR"
2022,"LUX","Luxembourg",0.949623753156941,"EUR"
2022,"MAC","Macao SAR, China",8.06520608333333,"MOP"
2022,"MDG","Madagascar",4096.11618374535,"MGA"
2022,"MYS","Malaysia",4.40107634540072,"MYR"
2022,"MDV","Maldives",15.386625,"MVR"
2022,"MLI","Mali",623.759700911182,"XOF"
2022,"MLT","Malta",0.949623753156941,"EUR"
2022,"MHL","Marshall Islands",1,"USD"
2022,"MUS","Mauritius",44.182775,"MUR"
2022,"MEX","Mexico",20.12735,"MXN"
2022,"FSM","Micronesia, Fed. Sts.",1,"USD"
2022,"MDA","Moldova",18.8971896198157,"MDL"
2022,"MCO","Monaco",0.949623753156941,"EUR"
2022,"MNE","Montenegro",0.950915533962108,"EUR"
2022,"MAR","Morocco",10.1606602430359,"MAD"
2022,"MOZ","Mozambique",63.8508333333333,"MZN"
2022,"NAM","Namibia",16.3558583333333,"NAD"
2022,"NRU","Nauru",1.44166445896522,"AUD"
2022,"NPL","Nepal",125.199457792609,"NPR"
2022,"NLD","Netherlands",0.949623753156941,"EUR"
2022,"NCL","New Caledonia",113.474367224106,"XPF"
2022,"NZL","New Zealand",1.57718333333333,"NZD"
2022,"NIC","Nicaragua",35.874421141967,"NIO"
2022,"NER","Niger",623.759700911182,"XOF"
2022,"MKD","North Macedonia",58.5743916666667,"MKD"
2022,"MNP","Northern Mariana Islands",1,"USD"
2022,"NOR","Norway",9.61416666666667,"NOK"
2022,"OMN","Oman",0.3845,"OMR"
2022,"PAK","Pakistan",204.867187469982,"PKR"
2022,"PLW","Palau",1,"USD"
2022,"PAN","Panama",1,"PAB"
2022,"PRY","Paraguay",6982.75237776692,"PYG"
2022,"PER","Peru",3.83518137473542,"PEN"
2022,"PHL","Philippines",54.477785837205,"PHP"
2022,"POL","Poland",4.45775833333333,"PLN"
2022,"PRT","Portugal",0.949623753156941,"EUR"
2022,"PRI","Puerto Rico",1,"USD"
2022,"QAT","Qatar",3.64,"QAR"
2022,"ROU","Romania",4.688475,"RON"
2022,"RUS","Russian Federation",68.4849416666667,"RUB"
2022,"RWA","Rwanda",1030.30829974206,"RWF"
2022,"WSM","Samoa",2.68899764734059,"WST"
2022,"SMR","San Marino",0.950915533962108,"EUR"
2022,"SAU","Saudi Arabia",3.75,"SAR"
2022,"SEN","Senegal",623.759700911182,"XOF"
2022,"SRB","Serbia",111.662183333333,"RSD"
2022,"SYC","Seychelles",14.2727945255291,"SCR"
2022,"SLE","Sierra Leone",14.0476497942157,"SLL"
2022,"SGP","Singapore",1.37866666666667,"SGD"
2022,"SXM","Sint Maarten (Dutch part)",1.79,"ANG"
2022,"SVK","Slovak Republic",0.949623753156941,"EUR"
2022,"SVN","Slovenia",0.949623753156941,"EUR"
2022,"ZAF","South Africa",16.3558534845,"ZAR"
2022,"ESP","Spain",0.949623753156941,"EUR"
2022,"KNA","St. Kitts and Nevis",2.7,"XCD"
2022,"LCA","St. Lucia",2.7,"XCD"
2022,"VCT","St. Vincent and the Grenadines",2.7,"XCD"
2022,"SDN","Sudan",546.75885,"SDG"
2022,"SUR","Suriname",24.709174756579,"SRD"
2022,"SWE","Sweden",10.114251277564,"SEK"
2022,"CHE","Switzerland",0.9548325,"CHF"
2022,"TJK","Tajikistan",11.031075,"TJS"
2022,"THA","Thailand",35.0613502144776,"THB"
2022,"TLS","Timor-Leste",1,"USD"
2022,"TGO","Togo",623.759700911182,"XOF"
2022,"TON","Tonga",2.32792982731644,"TOP"
2022,"TTO","Trinidad and Tobago",6.75412896099475,"TTD"
2022,"TUN","Tunisia",3.1036,"TND"
2022,"TCA","Turks and Caicos Islands",1,"USD"
2022,"TUV","Tuvalu",1.44166445896522,"AUD"
2022,"UGA","Uganda",3689.81738566862,"UGX"
2022,"UKR","Ukraine",32.3423016,"UAH"
2022,"ARE","United Arab Emirates",3.6725,"AED"
2022,"GBR","United Kingdom",0.811301715827773,"GBP"
2022,"USA","United States",1,"USD"
2022,"URY","Uruguay",41.1710833333333,"UYU"
2022,"UZB","Uzbekistan",11050.145422363,"UZS"
2022,"VNM","Vietnam",23271.2125,"VND"
2022,"VIR","Virgin Islands (U.S.)",1,"USD"
2022,"YEM","Yemen, Rep.",1110.2028088357,"YER"
2022,"ZMB","Zambia",16.9375943252989,"ZMW"
2022,"ZWE","Zimbabwe",374.954362604663,"ZWL"
